channel_id,channel_name,subscribers,total_views,video_count
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,461000000,107506575878,937
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,309000000,327140198864,25195
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,200000000,214618764678,1871
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,188000000,185190297276,164922
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,138000000,121909673319,1525
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29452506493,4654
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,131000000,118523125120,1031
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,149000000,117563263164,984
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,122000000,84973168152,15516
UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,112000000,101230148203,90349
