channel_id,channel_name,subscribers,total_views,video_count
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,462000000,108298678938,939
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,309000000,328017677637,25237
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,200000000,214618764678,1878
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,188000000,185367092885,165233
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,138000000,122042896531,1530
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29457667627,4656
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,131000000,118635080700,1034
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,149000000,117911098832,985
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,122000000,85170564261,15551
UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,112000000,101369437737,90490
