video_id,title,published_date,view_count,like_count,comment_count,duration,tags,category_id,language,channel_id,channel_name
ooAwCOP67GQ,Do Pawnshops Scam You?,2023-06-03T16:59:57Z,430386372,16486953,25595,33.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
c2ukL_zjFCk,Extreme Helmet Game,2025-05-28T16:00:19Z,188264469,3517302,7485,32.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
nAiKLoCP-kU,"Reach the Money, Win $10,000",2025-02-14T18:15:00Z,498402038,7730283,9809,25.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
8bTQMDM4qvY,"Spot The Fake Animal For $10,000",2024-07-19T16:00:00Z,618656018,17128531,29072,40.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
V6In4tmd-w8,"$1 vs $25,000 VFX",2025-06-19T17:00:41Z,101341254,2424731,13289,23.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
Tbn4cYCaZCk,"Drift This Car, Win $10,000",2025-04-16T17:00:15Z,497832488,6522007,10808,20.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
8krJy31Diow,Holding Bigger And Bigger Dogs,2024-09-16T18:00:00Z,329810219,8085216,10440,17.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
SWc8fI_9iqA,Ronaldo Teaches Me How To SIUU,2024-12-01T17:00:00Z,347751451,9334523,35660,15.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
R_BmT1OJw98,Every YouTube Play Button I Have,2025-08-15T16:00:01Z,199794917,3095211,18220,15.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
IemzxkkzI5s,I Tipped A Pizza Delivery Driver A Car,2023-10-12T17:30:03Z,669674502,26497573,34737,52.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
CWbV3NItSdY,The World's Fastest Cleaners,2024-04-25T16:00:03Z,706786669,26339856,43319,35.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
oiZvK6MY7tI,"Call Your Ex, Win $10,000",2025-10-07T16:00:00Z,90319320,2420604,8929,34.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
c0v8OPItCOg,"$100,000,000 Bathroom",2023-10-17T17:00:00Z,359820816,12657767,23060,50.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
JgJrQnDIRgg,"First to Answer the Phone, Wins $10,000",2025-10-17T16:00:00Z,56408106,1725721,8904,46.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
mktYW177p6U,Guess the Animal,2026-01-06T17:00:02Z,203126594,3596719,13888,53.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,2021-04-24T20:00:00Z,235821790,4363581,119960,808.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
HISfrcjiNPM,I Surprised 50 Make-A-Wish Kids With Disneyland,2025-11-21T19:40:01Z,32153443,824616,11354,29.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
7IKab3HcfFk,I Survived 50 Hours In Antarctica,2022-12-24T20:59:59Z,251715087,5815656,142797,730.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
yhB3BgJyGl8,7 Days Stranded At Sea,2023-08-05T16:00:01Z,409593490,8258900,126896,1085.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
Hwybp38GnZw,I Built Willy Wonka's Chocolate Factory!,2022-06-04T20:00:02Z,368399430,6917671,155631,971.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
Rj_vssRaZlQ,I Ate The World’s Largest Slice Of Pizza,2020-08-01T20:00:02Z,325523458,4881349,137268,483.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
NDsO1LT_0lw,I Spent 100 Hours Inside The Pyramids!,2025-02-08T17:00:00Z,223792840,5337935,100570,1303.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
Wdjh81uH6FU,"$1 vs $10,000,000 Job!",2023-11-25T17:00:00Z,302412314,4848045,62385,939.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
h5NvTTOlOtI,Hydraulic Press Vs Lamborghini,2022-12-10T21:00:01Z,264722150,5787451,124250,625.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
vp5sSqyZ5Go,I Filled My Brother’s House With Slime & Bought Him A New One,2020-10-10T20:00:31Z,258836725,4118322,115836,565.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
ywIcdSNJolo,Pass the Phone,2026-01-09T19:00:05Z,41550108,1141571,9128,23.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
iogcY_4xGjo,"$1 vs $1,000,000 Hotel Room!",2022-10-22T21:00:00Z,422099986,7479779,114121,941.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
kX3nB4PpJko,"Last To Take Hand Off Jet, Keeps It!",2022-11-12T21:00:00Z,244801022,4942029,100000,937.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
nM89Wl03Q4g,I Survived 50 Hours In A Maximum Security Prison,2021-06-26T20:00:02Z,294195915,4448965,98633,754.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
zo7i8VTpfNM,"Would You Risk Dying For $500,000?",2025-09-27T16:00:04Z,112763365,2171704,30740,1526.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
3OFj6l2tQ9s,World's Most Dangerous Trap!,2023-10-07T16:00:00Z,336163775,6694593,149474,1174.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
26QQE7EsnLA,MrBeast Lab Disaster!,2025-11-03T17:00:01Z,30285972,1200261,15764,67.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
Ah_uuTwGOYU,World's Strongest Man Vs Robot,2025-11-22T17:00:01Z,92482626,1788312,63216,1104.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
anFxsa5jXrE,"I Searched 100 Dumpsters, Here's What I Found",2019-10-12T20:10:01Z,232680740,3196705,57024,1029.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
sF5LYGgKbUA,Every Minute One Person Is Eliminated,2025-01-25T17:00:01Z,156033856,3108745,75845,2086.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
QJI0an6irrA,"30 Celebrities Fight For $1,000,000!",2026-01-07T20:00:09Z,80005953,2080686,92526,2518.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
7ESeQBeikKs,"Protect $500,000 Keep It!",2024-01-13T17:00:00Z,189285987,4787371,70245,934.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
OAbP-V6fEVc,I Broke Into A House,2020-06-25T20:00:00Z,209313558,3960186,197569,842.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
TOcGSwJBPMQ,I Spent 24 Hours Straight At Area 51,2019-08-02T21:00:01Z,194648419,3995788,99647,915.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
3RmOvxilbPM,100 People Vs World’s Biggest Trap!,2025-11-08T17:00:00Z,97733591,1841995,82422,1843.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
Xj0Jtjg3lHQ,"$1 vs $500,000 Experiences!",2024-11-02T16:00:00Z,268651552,5095249,56186,1060.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
3GNyw4uaAqU,Subscribe for an iPhone,2026-01-13T19:00:04Z,67799903,1609329,61512,15.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
WcwGleN38zE,"Extreme $100,000 Game of Tag!",2021-04-17T20:00:00Z,268877912,4002282,116284,999.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
UPrkC1LdlLY,"Survive 100 Days In Nuclear Bunker, Win $500,000",2024-08-03T16:00:00Z,342665913,6181121,87391,1941.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
3ryID_SwU5E,"$1 vs $100,000,000 House!",2023-10-14T16:00:00Z,401599190,6389670,134032,1023.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
Ooke4YZv8Ts,Surviving 24 Hours Straight In A Desert,2019-03-16T20:05:00Z,186840737,3405341,96481,844.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
hTSaweR8qMI,"$1 vs $500,000 Date",2025-06-07T16:00:00Z,159827170,3433513,60636,1042.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
